Date;Time of day;Germany/Austria/Luxembourg[Euro/MWh];Denmark 1[Euro/MWh];Denmark 2[Euro/MWh];France[Euro/MWh];Northern Italy[Euro/MWh];Netherlands[Euro/MWh];Poland[Euro/MWh];Sweden 4[Euro/MWh];Switzerland[Euro/MWh];Slovenia[Euro/MWh];Czech Republic[Euro/MWh];Hungary[Euro/MWh]
Jun 28, 2017;8:00 AM;41.51;41.51;41.51;41.51;50.28;41.51;-;41.51;40.21;50.28;50;63.72
Jun 28, 2017;9:00 AM;41.99;41.99;41.99;41.99;53.27;41.99;-;41.99;41.99;53.27;51.54;63.56
Jun 28, 2017;10:00 AM;41.95;41.95;41.95;41.95;53.11;41.95;-;41.95;40.22;53.11;50.1;66.82
Jun 28, 2017;11:00 AM;42.7;42.7;42.7;42.7;53.59;42.7;-;42.7;39.4;53.59;54.7;68.88
Jun 28, 2017;12:00 PM;41.45;41.45;43.58;41.45;50;41.45;-;43.58;38.93;60;57.6;68.88
Jun 28, 2017;1:00 PM;38.97;38.97;39.92;40.44;49.28;41.2;-;39.92;40.41;51.49;53.9;65.03
Jun 28, 2017;2:00 PM;36.57;36.57;36.57;39.33;52.78;36.57;-;36.57;40.59;52.78;52.26;61.08
Jun 28, 2017;3:00 PM;33.79;33.79;33.79;37;53;34.47;-;33.79;40.07;53;58.49;58.49
Jun 28, 2017;4:00 PM;34.9;34.9;34.9;34.9;53.27;34.9;-;34.9;39.76;53.27;59.91;59.91
Jun 28, 2017;5:00 PM;38.4;38.4;38.4;38.4;49.59;38.4;-;38.4;38.02;49.59;56.56;56.56
Jun 28, 2017;6:00 PM;38.97;38.97;38.97;38.97;48.87;38.97;-;38.97;39.49;48.87;41.5;54.45
Jun 28, 2017;7:00 PM;40;39.04;39.04;40;48.27;40;-;39.04;41;48.27;41.56;53.91
Jun 28, 2017;8:00 PM;38.95;33.32;33.32;38.95;47.53;38.95;-;33.32;41.69;47.53;40.19;53.91
Jun 28, 2017;9:00 PM;35.61;28.71;28.71;35.61;47.53;35.61;-;28.71;40.26;47.53;39.98;51.78
Jun 28, 2017;10:00 PM;35.92;23.63;28.09;35.92;46;35.92;-;28.09;38.74;46;37.1;47.03
Jun 28, 2017;11:00 PM;31.24;23.5;24.08;34.04;43.83;31.24;-;24.08;38.65;37.1;32.4;43.09
Jun 29, 2017;12:00 AM;32.42;22.23;22.23;32.42;44.21;32.42;-;22.23;35.62;33.1;32;33.99
Jun 29, 2017;1:00 AM;30.59;21.82;21.82;30.59;38.81;30.59;-;21.82;31.32;36;31.95;31.95
Jun 29, 2017;2:00 AM;29.94;21.77;21.77;29.94;36.76;29.94;-;21.77;29.6;29.94;30;30.03
Jun 29, 2017;3:00 AM;29.03;21.81;21.81;29.03;35.87;29.03;-;21.81;28.37;29.03;29.9;29.9
Jun 29, 2017;4:00 AM;29.05;21.86;21.86;29.05;34.04;29.05;-;21.86;28.07;33.1;29.25;29.89
Jun 29, 2017;5:00 AM;30.12;22.74;22.74;30.12;33.53;30.12;-;22.74;27.96;33.53;31.89;31.89
Jun 29, 2017;6:00 AM;33.95;31.5;31.5;33.95;39.03;33.95;-;31.5;28.98;39.03;38.04;42.04
Jun 29, 2017;7:00 AM;41.9;40.11;40.11;41.9;46.88;41.9;-;40.11;36.3;46.88;43.5;50.38
Jun 29, 2017;8:00 AM;46.96;45.83;45.83;46.96;48.27;46.96;-;45.83;41.46;48.27;47;55.33
Jun 29, 2017;9:00 AM;47.53;46.39;46.39;47.53;48.27;47.53;-;46.39;46.61;48.27;47.4;55.28
Jun 29, 2017;10:00 AM;47.53;46.39;46.39;47.53;47.53;47.53;-;46.39;47.02;47.53;46.6;51.52
Jun 29, 2017;11:00 AM;47.81;46.66;46.66;47.81;47.81;47.81;-;46.66;46.63;47.81;50;52.93
Jun 29, 2017;12:00 PM;45.99;44.89;44.89;45.99;45.99;45.99;-;44.89;46.6;50.09;54;57.5
Jun 29, 2017;1:00 PM;45.2;44.11;44.11;45.2;45.2;45.2;-;44.11;44.22;48.5;49;57.5
Jun 29, 2017;2:00 PM;41.71;41.71;41.71;41.71;44.2;41.71;-;41.71;42.11;44.2;39.88;53.96
Jun 29, 2017;3:00 PM;39.17;38.23;38.23;39.17;45;39.17;-;38.23;40.36;45;39.5;51.17
Jun 29, 2017;4:00 PM;38.28;37.31;37.31;38.28;46.9;38.28;-;37.31;39.11;46.9;39.38;50.07
Jun 29, 2017;5:00 PM;38.23;37.31;37.31;38.23;47.53;38.23;-;37.31;38.04;47.53;40.82;49.03
Jun 29, 2017;6:00 PM;38.94;38.09;38.09;38.94;47.81;38.94;-;38.09;39.09;47.81;39.8;50.82
Jun 29, 2017;7:00 PM;39.01;38.08;38.08;39.01;50;39.01;-;38.08;39.72;50;40.63;51.03
Jun 29, 2017;8:00 PM;35.52;33.14;33.14;35.52;50.78;35.52;-;33.14;40.35;50.78;38.36;53.5
Jun 29, 2017;9:00 PM;34.99;30.58;30.58;34.99;50.28;34.99;-;30.58;36.72;50.28;35.56;55.07
Jun 29, 2017;10:00 PM;36.48;28.5;28.5;39.71;45;36.59;-;28.5;35.51;45;33.68;46.09
