l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
449,121199256,44502985,110000,6,line,50,-RWE 1790 Lünen - Weddinghofen,RWE,6239.0,,,,,Yes
450,23997082,24230738,110000,6,line,50,,Stadtwerke Bielefeld GmbH,6377.0,,,,,Yes
451,23997082,26493941,110000,6,line,50,,,7516.0,,,,,
452,66038431,156398575,220000,12,line,,-110kV Elbestr West+Ost-110kV Elbestraße Ost+West,RWE,4056.0,0.02,0.08,46.0,5.2,Yes
453,52698907,109504648,110000,4,line,0,Dortmund - Datteln,DB_Energie,18563.0,,,,,Yes
454,114364871,24462228,110000,9,line,50,110 kV Annaberg West-110 kV Annaberg Ost|West- Graft Nord,RWE,968.0,,,,,Yes
455,29471404,201795871,110000,6,line,50,-110kV Coesfeld-Gronau + Dülmen-Gronau,RWE,22513.0,,,,,Yes
456,29471404,42874315,380000,6,line,50,,RWE,3909.0,0.0125,0.125,27.4,5.2,Yes
457,29471404,29472260,110000,6,line,,110kV Gronau - Stadtlohn Ost+West,RWE,27362.0,,,,,Yes
458,29471404,42867731,110000,6,line,,110kV Gronau - Stadtlohn Ost+West,RWE,15306.0,,,,,
459,88455858,47248253,110000,12,line,50,110 kV Hennef Nord- Ittenbach Nord-110 kV Hennef Nord|Süd,RWE,13165.0,,,,,Yes
460,88455858,87573602,380000,12,line,50,110 kV Ittenbach Nord|Süd-110 kV Ittenbach Nord-380 kV Siegtal Nord|Süd- 110 kV Ittenbach Nord|Süd-110 kV Hennef Nord|Süd,RWE,22412.0,0.00625,0.0625,54.8,10.4,Yes
461,88455858,89766688,110000,6,line,50,,RWE,13260.0,,,,,
462,157628534,52723519,110000,6,line,,110kV Fröndenberg Süd+?,RWE,6096.0,,,,,
463,32056010,27513557,110000,6,line,50,,EON_Westfalen_Weser-EON_WestfalenWeser,10552.0,,,,,
464,32056010,25157802,110000,6,line,50,,EON_Westfalen_Weser-EON_WestfalenWeser,13115.0,,,,,Yes
465,32056010,23141083,110000,6,line,50,-163- 166,EON_Westfalen_Weser-EON_WestfalenWeser,10459.0,,,,,
466,32056010,28911211,110000,6,line,50,-163- 166,EON_Westfalen_Weser-EON_WestfalenWeser,16654.0,,,,,Yes
